Wavelength (nm)	FL092 [11] 87241-87-0, 8-Phenylflavone [D]
225.00	30500
226.00	28456
227.00	26412
228.00	24396
229.00	22813
230.00	21886
231.00	21086
232.00	20570
233.00	20100
234.00	19888
235.00	19677
236.00	19465
237.00	19301
238.00	19176
239.00	19050
240.00	18935
241.00	19037
242.00	19139
243.00	19283
244.00	19627
245.00	19972
246.00	20378
247.00	20816
248.00	21311
249.00	21833
250.00	22235
251.00	22637
252.00	22769
253.00	22900
254.00	22812
255.00	22725
256.00	22378
257.00	22032
258.00	21686
259.00	21244
260.00	20802
261.00	20360
262.00	19916
263.00	19392
264.00	18868
265.00	18344
266.00	17755
267.00	17138
268.00	16521
269.00	15967
270.00	15414
271.00	14861
272.00	14473
273.00	14096
274.00	13718
275.00	13381
276.00	13124
277.00	12918
278.00	12851
279.00	12784
280.00	12772
281.00	12884
282.00	13039
283.00	13283
284.00	13526
285.00	13799
286.00	14150
287.00	14500
288.00	14868
289.00	15261
290.00	15654
291.00	16046
292.00	16433
293.00	16821
294.00	17172
295.00	17480
296.00	17788
297.00	18060
298.00	18280
299.00	18499
300.00	18644
301.00	18789
302.00	18894
303.00	18792
304.00	18681
305.00	18570
306.00	18404
307.00	18238
308.00	18071
309.00	17905
310.00	17708
311.00	17510
312.00	17312
313.00	17114
314.00	16888
315.00	16597
316.00	16306
317.00	16015
318.00	15724
319.00	15440
320.00	15157
321.00	14875
322.00	14592
323.00	14307
324.00	13971
325.00	13635
326.00	13300
327.00	12964
328.00	12624
329.00	12250
330.00	11877
331.00	11504
332.00	11116
333.00	10681
334.00	10247
335.00	9812.3
336.00	9377.7
337.00	8923.6
338.00	8469.5
339.00	8015.4
340.00	7588.3
341.00	7216.0
342.00	6843.7
343.00	6471.4
344.00	6099.1
345.00	5791.1
346.00	5488.7
347.00	5186.3
348.00	4897.8
349.00	4694.2
350.00	4490.6
351.00	4287.0
352.00	4083.4
353.00	3912.4
354.00	3748.0
355.00	3583.5
356.00	3419.1
357.00	3269.5
358.00	3129.6
359.00	2989.8
360.00	2848.4
361.00	2699.9
362.00	2551.3
363.00	2413.8
364.00	2284.3
365.00	2154.7
