Wavelength (nm)	P03  abs e
440.75	2771.0
441.00	2803.5
441.25	2912.5
441.50	2893.0
441.75	2942.2
442.00	3017.1
442.25	2991.2
442.50	3092.8
442.75	3149.4
443.00	3151.3
443.25	3146.7
443.50	3293.6
443.75	3361.7
444.00	3389.6
444.25	3358.0
444.50	3358.6
444.75	3484.4
445.00	3563.5
445.25	3562.1
445.50	3621.6
445.75	3730.9
446.00	3733.2
446.25	3713.6
446.50	3845.8
446.75	3858.6
447.00	3865.1
447.25	3955.8
447.50	4108.7
447.75	4082.3
448.00	4147.8
448.25	4244.8
448.50	4267.1
448.75	4347.5
449.00	4411.7
449.25	4531.3
449.50	4446.7
449.75	4618.4
450.00	4714.8
450.25	4698.1
450.50	4797.6
450.75	4786.8
451.00	4968.9
451.25	4973.2
451.50	4959.9
451.75	5091.0
452.00	5220.6
452.25	5190.0
452.50	5214.5
452.75	5403.7
453.00	5417.7
453.25	5480.6
453.50	5502.7
453.75	5592.0
454.00	5653.1
454.25	5767.4
454.50	5801.7
454.75	5828.4
455.00	5955.8
455.25	5968.8
455.50	6003.3
455.75	6141.1
456.00	6251.4
456.25	6219.2
456.50	6386.2
456.75	6407.0
457.00	6586.8
457.25	6599.7
457.50	6728.2
457.75	6833.1
458.00	6931.5
458.25	7006.3
458.50	7169.2
458.75	7257.6
459.00	7349.2
459.25	7435.5
459.50	7576.4
459.75	7684.3
460.00	7797.0
460.25	7871.4
460.50	8083.2
460.75	8195.8
461.00	8337.1
461.25	8444.8
461.50	8661.6
461.75	8671.7
462.00	8909.5
462.25	8977.0
462.50	9203.1
462.75	9369.8
463.00	9445.4
463.25	9631.5
463.50	9744.4
463.75	9967.3
464.00	10165
464.25	10367
464.50	10476
464.75	10706
465.00	10846
465.25	11074
465.50	11184
465.75	11343
466.00	11553
466.25	11788
466.50	11906
466.75	12174
467.00	12347
467.25	12464
467.50	12831
467.75	12969
468.00	13167
468.25	13377
468.50	13641
468.75	13835
469.00	14072
469.25	14215
469.50	14410
469.75	14659
470.00	14937
470.25	15106
470.50	15341
470.75	15548
471.00	15685
471.25	15979
471.50	16142
471.75	16318
472.00	16524
472.25	16872
472.50	16977
472.75	17259
473.00	17445
473.25	17596
473.50	17743
473.75	17956
474.00	18181
474.25	18340
474.50	18510
474.75	18774
475.00	18941
475.25	19166
475.50	19452
475.75	19601
476.00	19864
476.25	19960
476.50	20250
476.75	20355
477.00	20556
477.25	20676
477.50	20787
477.75	20960
478.00	21111
478.25	21213
478.50	21334
478.75	21372
479.00	21493
479.25	21606
479.50	21804
479.75	21942
480.00	21982
480.25	22133
480.50	22175
480.75	22391
481.00	22485
481.25	22505
481.50	22543
481.75	22710
482.00	22821
482.25	22900
482.50	23053
482.75	23129
483.00	23236
483.25	23373
483.50	23448
483.75	23585
484.00	23719
484.25	23869
484.50	23991
484.75	24095
485.00	24205
485.25	24429
485.50	24484
485.75	24704
486.00	24866
486.25	25036
486.50	25313
486.75	25428
487.00	25685
487.25	25840
487.50	26090
487.75	26340
488.00	26551
488.25	26871
488.50	27217
488.75	27427
489.00	27793
489.25	28096
489.50	28501
489.75	28748
490.00	29323
490.25	29654
490.50	30098
490.75	30370
491.00	30935
491.25	31307
491.50	31867
491.75	32317
492.00	33002
492.25	33298
492.50	33951
492.75	34562
493.00	35041
493.25	35676
493.50	36258
493.75	36708
494.00	37344
494.25	37928
494.50	38232
494.75	38510
495.00	38974
495.25	39569
495.50	40306
495.75	40835
496.00	41505
496.25	42133
496.50	42789
496.75	43530
497.00	44024
497.25	44762
497.50	45429
497.75	45924
498.00	46646
498.25	47000
498.50	47697
498.75	48398
499.00	49010
499.25	49260
499.50	49764
499.75	50455
500.00	50936
500.25	51358
500.50	51611
500.75	52155
501.00	52504
501.25	52816
501.50	53076
501.75	53122
502.00	53431
502.25	53568
502.50	53664
502.75	54000
503.00	53980
503.25	53718
503.50	53932
503.75	53719
504.00	53703
504.25	53589
504.50	53271
504.75	53254
505.00	53060
505.25	52755
505.50	52225
505.75	51872
506.00	51541
506.25	51036
506.50	50476
506.75	50136
507.00	49623
507.25	48892
507.50	48336
507.75	47721
508.00	46953
508.25	46433
508.50	45744
508.75	45033
509.00	44263
509.25	43483
509.50	42820
509.75	41836
510.00	40900
510.25	40229
510.50	39330
510.75	38393
511.00	37641
511.25	36737
511.50	36098
511.75	35042
512.00	34086
512.25	33321
512.50	32455
512.75	31564
513.00	30662
513.25	30042
513.50	29157
513.75	28248
514.00	27436
514.25	26614
514.50	25978
514.75	25083
515.00	24256
515.25	23290
515.50	22323
515.75	21415
516.00	20608
516.25	19749
516.50	19130
516.75	18332
517.00	17850
517.25	17218
517.50	16614
517.75	16013
518.00	15494
518.25	14852
518.50	14485
518.75	13887
519.00	13350
519.25	12891
519.50	12487
519.75	12005
520.00	11563
520.25	11176
520.50	10714
520.75	10207
521.00	9852.5
521.25	9529.4
521.50	9180.5
521.75	8900.1
522.00	8465.4
522.25	8110.0
522.50	7809.7
522.75	7484.5
523.00	7321.6
523.25	6887.8
523.50	6677.5
523.75	6399.2
524.00	6200.1
524.25	5909.2
524.50	5618.9
524.75	5443.2
525.00	5259.2
525.25	5043.7
525.50	4805.7
525.75	4643.7
526.00	4369.9
526.25	4162.4
526.50	4055.9
526.75	3789.6
527.00	3709.1
527.25	3576.3
527.50	3447.2
527.75	3342.0
528.00	3163.5
528.25	3008.5
528.50	2942.0
528.75	2753.8
529.00	2565.2
529.25	2479.3
529.50	2445.9
529.75	2367.6
530.00	2252.7
530.25	2156.2
