Wavelength (nm)	A02 abs1 e
225.00	28.955
225.25	26.284
225.50	23.683
225.75	21.969
226.00	19.947
226.25	19.465
226.50	18.332
226.75	16.802
227.00	15.966
227.25	16.279
227.50	15.686
227.75	15.097
228.00	15.204
228.25	15.279
228.50	14.458
228.75	15.216
229.00	15.332
229.25	15.649
229.50	15.351
229.75	16.054
230.00	16.620
230.25	17.114
230.50	18.361
230.75	18.615
231.00	19.238
231.25	19.747
231.50	20.073
231.75	21.567
232.00	22.109
232.25	22.049
232.50	23.158
232.75	23.304
233.00	23.812
233.25	24.907
233.50	24.916
233.75	25.979
234.00	26.587
234.25	27.216
234.50	28.059
234.75	28.974
235.00	30.122
235.25	31.546
235.50	33.084
235.75	34.761
236.00	36.110
236.25	38.043
236.50	39.192
236.75	41.028
237.00	41.941
237.25	43.331
237.50	44.205
237.75	45.372
238.00	46.268
238.25	46.924
238.50	47.943
238.75	48.297
239.00	49.752
239.25	50.438
239.50	51.035
239.75	52.374
240.00	54.188
240.25	55.990
240.50	57.975
240.75	59.932
241.00	62.278
241.25	64.791
241.50	67.600
241.75	70.937
242.00	74.060
242.25	76.557
242.50	79.484
242.75	81.467
243.00	82.666
243.25	84.060
243.50	84.894
243.75	85.519
244.00	86.317
244.25	86.903
244.50	87.783
244.75	88.673
245.00	89.828
245.25	91.046
245.50	92.736
245.75	95.160
246.00	97.390
246.25	101.30
246.50	104.49
246.75	108.04
247.00	112.49
247.25	118.00
247.50	123.77
247.75	129.33
248.00	133.52
248.25	136.15
248.50	139.25
248.75	140.75
249.00	141.10
249.25	141.96
249.50	141.69
249.75	141.58
250.00	141.84
250.25	141.66
250.50	141.77
250.75	143.08
251.00	144.57
251.25	147.44
251.50	151.24
251.75	156.12
252.00	161.83
252.25	167.41
252.50	173.62
252.75	179.53
253.00	185.58
253.25	191.68
253.50	197.53
253.75	201.38
254.00	202.82
254.25	203.10
254.50	204.79
254.75	206.35
255.00	207.42
255.25	209.50
255.50	210.81
255.75	210.71
256.00	209.83
256.25	206.53
256.50	203.54
256.75	200.79
257.00	198.10
257.25	195.91
257.50	195.95
257.75	198.52
258.00	204.06
258.25	210.50
258.50	216.68
258.75	222.82
259.00	227.25
259.25	231.96
259.50	237.72
259.75	240.90
260.00	243.96
260.25	243.73
260.50	243.20
260.75	244.98
261.00	250.12
261.25	260.56
261.50	274.83
261.75	280.01
262.00	277.72
262.25	266.77
262.50	251.36
262.75	235.79
263.00	218.91
263.25	205.28
263.50	193.76
263.75	187.43
264.00	186.13
264.25	188.13
264.50	191.02
264.75	192.45
265.00	190.12
265.25	183.24
265.50	171.67
265.75	160.82
266.00	149.55
266.25	139.00
266.50	130.76
266.75	126.73
267.00	127.76
267.25	135.20
267.50	149.87
267.75	172.10
268.00	199.86
268.25	227.18
268.50	240.60
268.75	236.53
269.00	219.61
269.25	197.43
269.50	174.84
269.75	152.97
270.00	132.24
270.25	113.28
270.50	95.742
270.75	80.482
271.00	67.799
271.25	57.299
271.50	48.718
271.75	41.781
272.00	36.137
272.25	31.945
272.50	28.328
272.75	24.896
273.00	22.402
273.25	20.306
273.50	18.236
273.75	16.553
274.00	14.942
274.25	13.265
274.50	11.974
274.75	10.502
275.00	9.1940
275.25	8.0049
275.50	6.9845
275.75	6.1293
276.00	5.3355
276.25	4.8568
276.50	4.0544
276.75	3.6217
277.00	3.3866
277.25	3.1328
277.50	2.6899
277.75	2.3679
278.00	1.8688
278.25	1.5843
278.50	1.4446
278.75	1.3850
279.00	0.99316
279.25	0.99316
279.50	1.0238
279.75	1.0068
280.00	0.91480
280.25	0.79044
280.50	0.67801
280.75	0.44973
281.00	0.74274
281.25	0.87221
281.50	0.78533
281.75	0.77511
282.00	0.93524
282.25	0.78533
282.50	0.76489
282.75	0.47018
283.00	0.49914
283.25	0.56728
283.50	0.63372
283.75	0.20613
284.00	0.32538
284.25	0.49914
284.50	0.33900
284.75	0.42589
285.00	0.44292
285.25	0.36456
285.50	0.80407
285.75	0.37648
286.00	0.62179
286.25	0.42589
286.50	0.33560
286.75	0.58772
287.00	0.20783
287.25	0.43100
287.50	0.29812
287.75	0.50425
288.00	0.72060
288.25	0.49062
288.50	0.59794
288.75	0.40544
289.00	0.42077
289.25	0.22657
289.50	0.41737
289.75	0.52469
290.00	0.16184
290.25	0.19761
290.50	0.86199
290.75	0.25383
291.00	0.61157
291.25	0.68823
291.50	0.48040
291.75	0.28108
292.00	0.29471
292.25	0.35093
292.50	0.21635
292.75	0.61498
293.00	0.65757
293.25	0.49232
293.50	0.75978
293.75	0.24701
294.00	0.56558
294.25	0.66268
294.50	0.54513
294.75	0.17887
295.00	0.64905
295.25	0.074956
295.50	0.67290
295.75	0.75978
296.00	0.47529
296.25	0.68823
296.50	0.059624
296.75	0.15162
297.00	0.51788
297.25	0.40033
297.50	0.44122
297.75	0.36967
298.00	0.38670
298.25	0.62009
298.50	0.21976
298.75	0.56898
299.00	0.70356
299.25	0.58431
299.50	0.52980
299.75	0.52980
300.00	0.49232
