Wavelength (nm)	K03 abs e
200.00	40609
201.00	39266
202.00	38744
203.00	37780
204.00	36888
205.00	35943
206.00	35572
207.00	35384
208.00	35360
209.00	35283
210.00	35309
211.00	35268
212.00	35305
213.00	35262
214.00	35201
215.00	35052
216.00	34958
217.00	34780
218.00	34587
219.00	34348
220.00	34117
221.00	33839
222.00	33598
223.00	33301
224.00	33092
225.00	32849
226.00	32541
227.00	32197
228.00	31698
229.00	31082
230.00	30311
231.00	29508
232.00	28665
233.00	27584
234.00	26431
235.00	25120
236.00	23794
237.00	22479
238.00	21301
239.00	20346
240.00	19532
241.00	18793
242.00	18095
243.00	17397
244.00	16810
245.00	16294
246.00	15845
247.00	15407
248.00	14997
249.00	14638
250.00	14306
251.00	14011
252.00	13819
253.00	13648
254.00	13482
255.00	13334
256.00	13184
257.00	12982
258.00	12721
259.00	12351
260.00	12011
261.00	11628
262.00	11307
263.00	11011
264.00	10877
265.00	10704
266.00	10623
267.00	10698
268.00	10757
269.00	10921
270.00	11120
271.00	11462
272.00	11920
273.00	12289
274.00	12611
275.00	12709
276.00	12564
277.00	12128
278.00	11494
279.00	10716
280.00	9865.4
281.00	9040.1
282.00	8315.2
283.00	7661.7
284.00	7097.8
285.00	6633.9
286.00	6264.1
287.00	5915.9
288.00	5594.8
289.00	5305.5
290.00	5066.0
291.00	4791.5
292.00	4631.6
293.00	4387.9
294.00	4170.2
295.00	4019.9
296.00	3903.5
297.00	3737.3
298.00	3566.2
299.00	3514.7
300.00	3368.3
301.00	3346.3
302.00	3272.5
303.00	3209.2
304.00	3159.4
305.00	3104.7
306.00	3066.4
307.00	3078.7
308.00	3114.0
309.00	3140.2
310.00	3153.4
311.00	3215.8
312.00	3299.2
313.00	3304.8
314.00	3369.0
315.00	3440.2
316.00	3497.6
317.00	3539.4
318.00	3613.4
319.00	3631.0
320.00	3724.5
321.00	3861.3
322.00	3954.7
323.00	4059.7
324.00	4140.9
325.00	4303.0
326.00	4392.7
327.00	4386.9
328.00	4382.1
329.00	4333.2
330.00	4159.2
331.00	4047.3
332.00	3959.7
333.00	3777.0
334.00	3625.2
335.00	3476.4
336.00	3404.1
337.00	3364.1
338.00	3307.3
339.00	3311.8
340.00	3295.8
341.00	3278.0
342.00	3269.8
343.00	3243.2
344.00	3184.9
345.00	3207.5
346.00	3169.9
347.00	3117.7
348.00	3167.9
349.00	3153.3
350.00	3193.1
351.00	3179.0
352.00	3283.5
353.00	3297.4
354.00	3341.1
355.00	3341.7
356.00	3336.4
357.00	3347.1
358.00	3334.8
359.00	3304.3
360.00	3371.6
361.00	3302.2
362.00	3274.2
363.00	3231.9
364.00	3162.9
365.00	3126.7
366.00	3147.6
367.00	3139.5
368.00	3059.8
369.00	3071.3
370.00	2979.0
371.00	3061.0
372.00	3113.3
373.00	3141.6
374.00	3218.7
375.00	3293.4
376.00	3244.3
377.00	3362.4
378.00	3418.2
379.00	3470.9
380.00	3530.0
381.00	3608.0
382.00	3619.2
383.00	3571.0
384.00	3624.8
385.00	3656.9
386.00	3739.6
387.00	3812.7
388.00	3872.1
389.00	3776.9
390.00	3774.3
391.00	4027.5
392.00	4050.2
393.00	4055.0
394.00	4048.3
395.00	4008.0
396.00	4064.6
397.00	4173.5
398.00	4244.5
399.00	4375.8
400.00	4386.5
401.00	4353.7
402.00	4466.0
403.00	4581.6
404.00	4616.7
405.00	4714.8
406.00	4801.4
407.00	4890.0
408.00	4970.8
409.00	4914.0
410.00	5144.5
411.00	5263.6
412.00	5225.8
413.00	5303.8
414.00	5318.2
415.00	5289.3
416.00	5334.7
417.00	5218.7
418.00	5135.9
419.00	5182.6
420.00	5054.7
421.00	4877.8
422.00	4743.0
423.00	4612.7
424.00	4500.4
425.00	4325.8
426.00	3997.8
427.00	3973.1
428.00	3915.9
429.00	3742.1
430.00	3651.9
431.00	3515.6
432.00	3479.6
433.00	3481.9
434.00	3446.9
435.00	3478.6
436.00	3531.5
437.00	3452.7
438.00	3535.5
439.00	3678.1
440.00	3708.6
441.00	3736.6
442.00	3848.1
443.00	3816.4
444.00	3896.0
445.00	3913.5
446.00	3930.3
447.00	3913.2
448.00	3783.3
449.00	3710.5
450.00	3654.4
451.00	3527.7
452.00	3349.3
453.00	3306.4
454.00	3156.8
