Wavelength (nm)	FL101 [11] 19202-36-9, Hinokiflavone [D]
228.00	33428
229.00	32075
230.00	30721
231.00	29379
232.00	28152
233.00	26925
234.00	25931
235.00	25084
236.00	24238
237.00	23471
238.00	22875
239.00	22280
240.00	21684
241.00	21348
242.00	21034
243.00	20720
244.00	20557
245.00	20426
246.00	20295
247.00	20276
248.00	20411
249.00	20546
250.00	20712
251.00	21077
252.00	21443
253.00	21822
254.00	22519
255.00	23216
256.00	24075
257.00	25223
258.00	26372
259.00	28129
260.00	29893
261.00	31612
262.00	33321
263.00	34936
264.00	36435
265.00	37847
266.00	38881
267.00	39915
268.00	40338
269.00	40707
270.00	41076
271.00	40770
272.00	40464
273.00	39653
274.00	38675
275.00	37570
276.00	36386
277.00	35216
278.00	34144
279.00	33072
280.00	32608
281.00	32163
282.00	31878
283.00	31754
284.00	31629
285.00	31653
286.00	31888
287.00	32123
288.00	32359
289.00	32605
290.00	32853
291.00	33101
292.00	33350
293.00	33598
294.00	33828
295.00	34047
296.00	34267
297.00	34486
298.00	34706
299.00	34926
300.00	35012
301.00	35096
302.00	35180
303.00	35264
304.00	35349
305.00	35433
306.00	35623
307.00	35826
308.00	36029
309.00	36232
310.00	36434
311.00	36777
312.00	37167
313.00	37557
314.00	37946
315.00	38341
316.00	38778
317.00	39216
318.00	39653
319.00	40091
320.00	40528
321.00	41014
322.00	41527
323.00	42040
324.00	42553
325.00	43066
326.00	43640
327.00	44221
328.00	44801
329.00	45382
330.00	45989
331.00	46664
332.00	47339
333.00	48015
334.00	48692
335.00	49403
336.00	50115
337.00	50827
338.00	51523
339.00	52121
340.00	52719
341.00	53318
342.00	53815
343.00	54222
344.00	54630
345.00	54793
346.00	54947
347.00	55100
348.00	54950
349.00	54799
350.00	54649
351.00	54256
352.00	53859
353.00	53461
354.00	52991
355.00	52396
356.00	51802
357.00	51074
358.00	50138
359.00	49202
360.00	48287
361.00	47422
362.00	46558
363.00	45513
364.00	44294
365.00	43076
366.00	41867
367.00	40668
368.00	39469
369.00	38222
370.00	36877
371.00	35532
372.00	34165
373.00	32727
374.00	31289
375.00	29883
376.00	28570
377.00	27257
378.00	25944
379.00	24717
380.00	23495
381.00	22273
382.00	21052
383.00	19946
384.00	18947
385.00	17949
386.00	16951
387.00	15952
388.00	15040
389.00	14190
390.00	13340
391.00	12490
392.00	11827
393.00	11171
394.00	10514
395.00	9857.6
396.00	9228.1
397.00	8613.8
398.00	7999.4
399.00	7484.5
400.00	7001.0
