Wavelength (nm)	E06 abs e
210.00	677.49
211.00	625.17
212.00	581.09
213.00	545.12
214.00	517.53
215.00	498.16
216.00	482.59
217.00	467.61
218.00	451.94
219.00	436.60
220.00	426.34
221.00	416.42
222.00	403.03
223.00	383.89
224.00	363.52
225.00	349.21
226.00	332.79
227.00	314.65
228.00	294.18
229.00	276.42
230.00	264.68
231.00	254.80
232.00	246.78
233.00	242.72
234.00	242.11
235.00	244.81
236.00	250.07
237.00	257.60
238.00	267.76
239.00	279.82
240.00	294.06
241.00	309.53
242.00	326.01
243.00	344.05
244.00	363.91
245.00	385.25
246.00	407.87
247.00	431.06
248.00	455.07
249.00	478.76
250.00	503.46
251.00	529.88
252.00	557.10
253.00	584.28
254.00	611.49
255.00	636.98
256.00	662.16
257.00	687.20
258.00	712.00
259.00	738.29
260.00	763.60
261.00	786.62
262.00	805.00
263.00	822.50
264.00	836.46
265.00	850.59
266.00	862.39
267.00	875.23
268.00	884.65
269.00	889.27
270.00	890.00
271.00	885.13
272.00	878.54
273.00	870.06
274.00	859.44
275.00	847.20
276.00	833.03
277.00	814.42
278.00	793.43
279.00	769.51
280.00	741.94
281.00	713.87
282.00	684.32
283.00	654.19
284.00	625.17
285.00	594.94
286.00	563.73
287.00	532.94
288.00	501.71
289.00	471.62
290.00	439.93
291.00	409.96
292.00	381.11
293.00	353.87
294.00	327.57
295.00	302.62
296.00	278.68
297.00	256.42
298.00	235.21
299.00	216.88
300.00	198.58
301.00	181.10
302.00	164.70
303.00	149.79
304.00	135.35
305.00	121.68
306.00	109.09
307.00	97.507
308.00	86.872
309.00	77.639
310.00	69.715
311.00	61.307
312.00	53.609
313.00	46.861
314.00	40.265
315.00	34.949
316.00	30.442
317.00	25.329
318.00	21.876
319.00	18.837
320.00	15.786
321.00	13.386
322.00	11.385
323.00	9.1550
324.00	7.7445
325.00	6.2029
326.00	5.1083
327.00	4.5459
328.00	3.8697
329.00	3.3133
330.00	2.1537
331.00	2.4132
332.00	2.0243
333.00	1.8472
334.00	1.7387
335.00	1.2414
336.00	1.2501
337.00	1.0218
338.00	1.3273
339.00	1.1936
340.00	0.67284
341.00	0.78568
342.00	0.67544
343.00	0.45323
344.00	0.44195
345.00	0.55305
346.00	0.48795
347.00	0.33258
348.00	1.1094
349.00	0.60079
350.00	0.64246
