Wavelength (nm)	R03 abs e
300.00	6272.8
301.00	6383.2
302.00	6504.0
303.00	6610.8
304.00	6737.3
305.00	6871.7
306.00	7026.9
307.00	7169.1
308.00	7317.9
309.00	7471.6
310.00	7637.6
311.00	7796.7
312.00	7932.8
313.00	8041.0
314.00	8133.0
315.00	8195.9
316.00	8250.2
317.00	8293.3
318.00	8314.2
319.00	8327.7
320.00	8331.4
321.00	8324.6
322.00	8331.1
323.00	8330.9
324.00	8319.7
325.00	8317.4
326.00	8320.2
327.00	8335.8
328.00	8349.7
329.00	8377.5
330.00	8418.0
331.00	8464.4
332.00	8522.2
333.00	8599.6
334.00	8658.1
335.00	8743.7
336.00	8834.5
337.00	8932.6
338.00	9044.7
339.00	9146.0
340.00	9263.3
341.00	9378.4
342.00	9507.7
343.00	9633.1
344.00	9757.1
345.00	9883.4
346.00	10005
347.00	10134
348.00	10263
349.00	10389
350.00	10507
351.00	10621
352.00	10746
353.00	10884
354.00	11016
355.00	11150
356.00	11282
357.00	11400
358.00	11569
359.00	11775
360.00	12037
361.00	12300
362.00	12577
363.00	12818
364.00	12850
365.00	12797
366.00	12714
367.00	12806
368.00	13107
369.00	13461
370.00	13745
371.00	13987
372.00	14273
373.00	14508
374.00	14727
375.00	15017
376.00	15295
377.00	15592
378.00	15883
379.00	16200
380.00	16500
381.00	16767
382.00	17062
383.00	17346
384.00	17627
385.00	17916
386.00	18170
387.00	18456
388.00	18733
389.00	18936
390.00	19158
391.00	19442
392.00	19725
393.00	19976
394.00	20149
395.00	20405
396.00	20677
397.00	20999
398.00	21272
399.00	21491
400.00	21683
401.00	21974
402.00	22268
403.00	22558
404.00	22835
405.00	23160
406.00	23434
407.00	23632
408.00	23985
409.00	24295
410.00	24535
411.00	24834
412.00	25158
413.00	25494
414.00	25738
415.00	26016
416.00	26295
417.00	26575
418.00	26866
419.00	27040
420.00	27206
421.00	27262
422.00	27294
423.00	27164
424.00	27020
425.00	26851
426.00	26675
427.00	26524
428.00	26340
429.00	26110
430.00	25957
431.00	25728
432.00	25454
433.00	25283
434.00	25181
435.00	24926
436.00	24797
437.00	24672
438.00	24484
439.00	24424
440.00	24320
441.00	24288
442.00	24271
443.00	24225
444.00	24259
445.00	24318
446.00	24379
447.00	24510
448.00	24664
449.00	24856
450.00	25075
451.00	25261
452.00	25550
453.00	25818
454.00	26146
455.00	26489
456.00	26857
457.00	27274
458.00	27740
459.00	28173
460.00	28614
461.00	29079
462.00	29529
463.00	30190
464.00	30863
465.00	31511
466.00	32149
467.00	32816
468.00	33798
469.00	34743
470.00	35815
471.00	37147
472.00	38643
473.00	40220
474.00	41768
475.00	43639
476.00	45519
477.00	47499
478.00	49685
479.00	51983
480.00	54508
481.00	56805
482.00	59078
483.00	61473
484.00	63997
485.00	66795
486.00	69263
487.00	69826
488.00	71450
489.00	73303
490.00	74306
491.00	74900
492.00	74792
493.00	74137
494.00	73147
495.00	71617
496.00	69572
497.00	67248
498.00	64631
499.00	61971
500.00	59311
501.00	56684
502.00	54241
503.00	52059
504.00	50159
505.00	48527
506.00	47312
