Wavelength (nm)	FL133 [12] 479-90-3, Artemitin [D]
210.00	46125
211.00	45716
212.00	45338
213.00	44711
214.00	43824
215.00	42639
216.00	41154
217.00	39326
218.00	37498
219.00	35213
220.00	32991
221.00	31217
222.00	29516
223.00	28228
224.00	26940
225.00	25807
226.00	24857
227.00	23906
228.00	23356
229.00	22876
230.00	22397
231.00	22083
232.00	21829
233.00	21576
234.00	21405
235.00	21284
236.00	21165
237.00	21111
238.00	21058
239.00	21006
240.00	20959
241.00	20912
242.00	20929
243.00	20948
244.00	21025
245.00	21139
246.00	21253
247.00	21567
248.00	21951
249.00	22350
250.00	22774
251.00	23199
252.00	23566
253.00	23907
254.00	24095
255.00	24118
256.00	23977
257.00	23713
258.00	23449
259.00	23042
260.00	22643
261.00	22265
262.00	21945
263.00	21665
264.00	21417
265.00	21204
266.00	21148
267.00	21182
268.00	21288
269.00	21519
270.00	21598
271.00	21677
272.00	21575
273.00	21473
274.00	21019
275.00	20483
276.00	19871
277.00	19031
278.00	18207
279.00	17401
280.00	16601
281.00	15837
282.00	15074
283.00	14552
284.00	14134
285.00	13715
286.00	13297
287.00	12979
288.00	12704
289.00	12429
290.00	12167
291.00	11996
292.00	11826
293.00	11660
294.00	11624
295.00	11588
296.00	11553
297.00	11545
298.00	11581
299.00	11616
300.00	11652
301.00	11766
302.00	11908
303.00	12049
304.00	12233
305.00	12434
306.00	12635
307.00	12898
308.00	13178
309.00	13458
310.00	13777
311.00	14096
312.00	14416
313.00	14735
314.00	15114
315.00	15511
316.00	15909
317.00	16306
318.00	16781
319.00	17303
320.00	17824
321.00	18345
322.00	18872
323.00	19409
324.00	19946
325.00	20484
326.00	21045
327.00	21606
328.00	22167
329.00	22721
330.00	23246
331.00	23770
332.00	24294
333.00	24801
334.00	25187
335.00	25573
336.00	25959
337.00	26345
338.00	26648
339.00	26916
340.00	27184
341.00	27425
342.00	27593
343.00	27760
344.00	27928
345.00	28052
346.00	28141
347.00	28200
348.00	28138
349.00	28073
350.00	27971
351.00	27741
352.00	27512
353.00	27283
354.00	26979
355.00	26661
356.00	26343
357.00	26015
358.00	25614
359.00	25214
360.00	24813
361.00	24373
362.00	23832
363.00	23290
364.00	22749
365.00	22162
366.00	21456
367.00	20751
368.00	20046
369.00	19341
370.00	18594
371.00	17830
372.00	17067
373.00	16303
374.00	15539
375.00	14715
376.00	13887
377.00	13060
378.00	12282
379.00	11539
380.00	10797
381.00	10054
382.00	9416.7
383.00	8779.1
384.00	8141.5
385.00	7534.6
386.00	6958.5
387.00	6382.4
388.00	5806.3
389.00	5292.1
390.00	4824.6
391.00	4357.1
392.00	3889.6
393.00	3523.7
394.00	3166.7
395.00	2809.6
396.00	2461.5
397.00	2253.4
398.00	2045.3
399.00	1837.3
400.00	1641.3
