Wavelength (nm)	H11 abs e
220.00	26145
220.25	26070
220.50	26241
220.75	25998
221.00	26107
221.25	26009
221.50	25743
221.75	25743
222.00	25532
222.25	25417
222.50	25301
222.75	25097
223.00	24927
223.25	24758
223.50	24579
223.75	24417
224.00	24055
224.25	23860
224.50	23700
224.75	23430
225.00	23188
225.25	22857
225.50	22574
225.75	22236
226.00	22054
226.25	21657
226.50	21274
226.75	20810
227.00	20443
227.25	20093
227.50	19496
227.75	19162
228.00	18690
228.25	18114
228.50	17665
228.75	17129
229.00	16649
229.25	16095
229.50	15634
229.75	14913
230.00	14592
230.25	13899
230.50	13356
230.75	12829
231.00	12198
231.25	11855
231.50	11313
231.75	10799
232.00	10447
232.25	9986.6
232.50	9566.6
232.75	9208.8
233.00	8847.0
233.25	8469.5
233.50	8107.4
233.75	7703.6
234.00	7402.7
234.25	7178.6
234.50	6790.5
234.75	6434.6
235.00	6184.9
235.25	5961.2
235.50	5741.4
235.75	5509.4
236.00	5312.4
236.25	5102.8
236.50	5024.9
236.75	4855.5
237.00	4802.0
237.25	4614.0
237.50	4483.9
237.75	4374.2
238.00	4387.1
238.25	4231.8
238.50	4220.8
238.75	4095.4
239.00	4033.2
239.25	4093.0
239.50	4034.4
239.75	3879.1
240.00	3951.1
240.25	3896.8
240.50	3903.5
240.75	3907.0
241.00	3848.8
241.25	3832.7
241.50	3837.0
241.75	3946.0
242.00	3927.5
242.25	3881.9
242.50	3937.3
242.75	3848.0
243.00	3992.4
243.25	3972.3
243.50	4065.1
243.75	4097.7
244.00	4095.8
244.25	4080.4
244.50	4208.2
244.75	4269.2
245.00	4279.4
245.25	4282.9
245.50	4360.0
245.75	4406.0
246.00	4415.5
246.25	4511.4
246.50	4548.0
246.75	4595.6
247.00	4729.6
247.25	4687.2
247.50	4781.5
247.75	4799.2
248.00	4830.7
248.25	4942.4
248.50	5001.4
248.75	5100.4
249.00	5137.0
249.25	5207.4
249.50	5279.4
249.75	5402.0
250.00	5441.8
250.25	5470.5
250.50	5579.4
250.75	5635.2
251.00	5665.5
251.25	5778.4
251.50	5845.6
251.75	5897.1
252.00	6064.6
252.25	6101.2
252.50	6131.5
252.75	6147.6
253.00	6251.4
