Wavelength (nm)	D08 abs e
200.00	26192
201.00	27780
202.00	28290
203.00	27979
204.00	26817
205.00	25651
206.00	24701
207.00	23833
208.00	23177
209.00	22646
210.00	22130
211.00	21603
212.00	21070
213.00	20521
214.00	20064
215.00	19557
216.00	19065
217.00	18524
218.00	17965
219.00	17383
220.00	16773
221.00	16175
222.00	15619
223.00	15106
224.00	14615
225.00	14179
226.00	13783
227.00	13446
228.00	13158
229.00	12925
230.00	12731
231.00	12563
232.00	12382
233.00	12208
234.00	12065
235.00	11945
236.00	11840
237.00	11728
238.00	11627
239.00	11534
240.00	11448
241.00	11367
242.00	11295
243.00	11218
244.00	11142
245.00	11080
246.00	11036
247.00	11027
248.00	11058
249.00	11112
250.00	11208
251.00	11315
252.00	11418
253.00	11531
254.00	11642
255.00	11762
256.00	11893
257.00	12001
258.00	12090
259.00	12164
260.00	12213
261.00	12256
262.00	12301
263.00	12303
264.00	12269
265.00	12212
266.00	12077
267.00	11928
268.00	11755
269.00	11552
270.00	11297
271.00	11003
272.00	10671
273.00	10354
274.00	10046
275.00	9723.0
276.00	9391.0
277.00	9063.7
278.00	8721.5
279.00	8374.0
280.00	8034.6
281.00	7706.5
282.00	7394.3
283.00	7108.0
284.00	6841.4
285.00	6575.4
286.00	6367.9
287.00	6200.7
288.00	6093.6
289.00	6018.9
290.00	5964.7
291.00	5928.5
292.00	5899.7
293.00	5891.5
294.00	5890.7
295.00	5895.3
296.00	5895.8
297.00	5904.0
298.00	5898.3
299.00	5886.3
300.00	5884.4
301.00	5885.8
302.00	5884.0
303.00	5902.0
304.00	5897.7
305.00	5869.0
306.00	5862.5
307.00	5866.9
308.00	5877.5
309.00	5880.4
310.00	5886.1
311.00	5882.0
312.00	5885.3
313.00	5888.9
314.00	5903.5
315.00	5931.2
316.00	5964.3
317.00	5985.8
318.00	6000.8
319.00	6049.4
320.00	6083.3
321.00	6153.6
322.00	6225.0
323.00	6285.5
324.00	6366.1
325.00	6454.1
326.00	6537.0
